,86.14.mp4,87.55.mp4,87.84.mp4,89.82.mp4,91.44.mp4,92.06.mp4,steps
0,172.640995,169.7977084,172.7621991,173.4470846,178.2497252,177.915986,
1,175.0888212,164.3132478,173.2403708,174.3678266,154.4051483,178.4345754,
2,176.5999836,169.8285032,171.41616,175.9894849,160.3636485,171.2915594,
3,177.279646,168.2374965,170.9083973,176.6913124,176.9162345,165.9284037,
4,178.9413141,170.1798263,171.7207024,161.9641381,176.6079648,165.8366786,
5,178.1129116,174.5529526,160.2907131,148.7822771,175.2051501,142.4426492,
6,176.6051681,174.4527297,130.564314,158.8702049,151.3901818,142.0447186,
7,168.3093631,146.8838567,124.4481203,163.5388435,109.2904919,141.0914666,
8,126.2358729,113.7798042,142.5483014,161.5129969,102.2062537,167.5597095,
9,127.9420462,108.4159746,140.2451854,173.2226092,127.7130861,170.6004662,
10,132.711107,115.6666976,146.1521348,171.11312,128.5045313,171.0719458,
11,156.9421756,138.907666,151.7955381,165.8206051,134.5639068,160.5155717,1
12,166.5708155,146.3853222,168.4208933,173.6306006,143.9213712,154.9633103,
13,154.3720116,153.1898163,176.0101143,171.6519149,158.423212,157.8140847,
14,163.8113653,152.9455397,175.0023712,177.4449876,167.0142904,166.6485663,
15,160.7163338,166.2000194,175.8383458,179.5091861,166.7780223,170.1019738,
16,169.0567143,172.1893927,171.0773895,178.6986459,165.7243995,170.1484521,
17,167.4732815,176.3033781,161.0053554,178.2457911,166.9981525,171.5367174,
18,166.8861041,172.6856145,159.9543261,174.3320953,166.4437337,176.3188073,
19,162.7192602,163.84006,157.8598817,177.9220962,158.2606457,179.5605988,
20,164.2952946,164.524732,159.0745547,178.8363558,154.1526474,178.3543238,2
21,163.9003978,158.4167979,167.253187,179.1184364,155.2240548,167.4788237,
22,170.0998469,162.5870469,170.4680282,170.1203418,162.4083403,168.5819481,
23,174.3930937,167.1755052,154.195599,157.7358064,167.4330093,168.129785,
24,174.0601777,171.7221268,115.2724898,159.9958134,115.458889,146.2563878,
25,172.2791157,146.3049746,116.9892637,161.8993574,133.7036398,116.0882191,
26,139.3461783,149.6656442,112.1236941,82.72409706,113.7271304,62.53284122,
27,147.8185568,117.3517939,144.5411202,171.5241438,106.1974949,121.1687105,
28,166.1586144,123.4784838,125.1690542,171.7865596,103.6217776,129.7855034,
29,147.6572487,143.8317334,148.5998778,174.9777334,124.4684434,140.0818251,3
30,150.2213668,149.6400449,166.4528295,173.5562315,133.010706,141.4780821,
31,147.5004206,149.7936733,164.682419,179.5511385,146.6618185,149.8941059,
32,149.0092723,164.1657054,164.1037059,174.1606128,146.1947402,156.2164876,
33,151.7268481,171.5841247,159.2728112,177.1240454,164.9141426,157.9634958,
34,165.8959135,166.4383381,153.6580011,179.9004617,164.7168641,159.5964714,
35,167.5696396,160.1263279,154.115457,179.641817,157.3809675,166.5499397,
36,163.1330887,156.8232192,154.5963393,176.6705593,156.2147891,160.8151756,
37,155.4076101,156.1978681,163.0206034,174.3655312,154.4404376,163.6800387,4
38,157.633251,161.2883841,170.9042036,172.1103962,156.0919551,164.4395505,
39,168.8999962,144.5128613,148.6995998,161.9922972,164.1785178,151.3227499,
40,175.1522027,166.7063957,152.6784377,150.1519906,165.8443138,151.6411079,
41,156.092856,144.4520842,163.2972277,146.9181262,151.4379243,132.0112807,
42,158.0835981,142.9195077,161.5009482,138.7998472,117.8902654,127.0500714,
43,159.2247425,116.8400394,174.2657984,137.4478048,129.1483931,139.2799682,
44,153.1312698,133.4776485,151.8102007,144.4698532,122.5332399,157.7971002,
45,148.3852773,149.0890876,156.7096682,143.0909746,135.853607,166.2763388,
46,167.8702543,158.5814597,151.5560317,145.1360584,171.792234,165.2069461,
47,157.0883304,159.2417946,154.450847,147.1812344,158.7247962,160.6712235,
48,158.3074292,157.1537539,167.4733795,162.0416059,159.38714,147.4150476,5
49,160.1764664,155.6038375,176.720609,179.447834,154.9527589,153.0021876,
50,160.9145796,167.2899406,176.933108,173.9066008,167.5507462,170.3131796,
51,164.9265388,175.4804118,179.4847544,171.0390508,176.826502,170.7721523,
52,176.2872321,177.9036485,170.7488012,170.6600053,179.3318016,146.5122921,
53,178.7019744,178.1441622,176.039951,168.5922663,174.7844574,146.5122921,
54,113.413905,176.6422792,172.8002898,160.2333122,170.6564451,146.5122921,
55,112.6169911,171.8370461,176.9511438,171.0430769,174.5928744,166.210805,
56,177.2793168,179.8937998,176.5807355,176.5861663,157.3749301,165.1799564,6
57,176.915901,179.1382495,178.6434298,175.3338142,170.3914387,170.1545011,
58,175.9010452,177.8771437,178.8238562,175.2132043,178.8785037,169.2081418,r
59,172.2278266,177.1062373,176.9272802,170.5746658,169.9047357,173.6547022,
60,173.9108985,178.9147454,179.5520151,176.3697143,163.0357051,179.7923094,
61,176.2754083,179.221884,179.0973565,179.8765949,178.2695394,176.0108884,
62,179.7326708,177.5108128,179.9451215,172.4375052,175.7546951,175.2465255,
63,176.6292706,179.0091865,176.4663625,171.4156415,179.5594373,177.3255583,
64,172.3336383,178.1978149,177.0965963,173.3381838,177.9821578,177.2414826,
65,174.8047325,178.0505603,178.4740907,176.668728,179.0943968,177.3923203,
66,174.3199953,175.0522194,156.5060747,171.2433879,171.7423791,177.9665003,
67,49.32636127,172.2894855,42.49217293,164.4072784,178.3761743,176.9185541,
68,7.804552389,23.68797667,31.40997006,164.5197691,174.9672562,176.6421352,
69,5.941382979,20.18911568,10.96630447,150.5827828,169.4163316,176.448223,
70,44.69183229,57.1063559,33.17758265,134.0068141,148.2735524,175.9155265,
71,6.307085086,127.4957285,86.40546468,105.703652,140.5622681,176.3281721,
72,16.73825154,12.7482684,145.9016876,93.35600488,117.5132689,168.7226445,
73,7.126686883,34.19174481,105.0759208,98.44511345,81.67435298,166.5446363,
74,29.94031686,8.508758053,6.852168251,98.43031756,49.95705406,172.2022412,
75,47.1910976,9.766291509,8.659594522,125.809923,24.54740301,165.9599532,
76,166.8308909,4.937395765,157.6772908,137.0654531,24.7263209,165.2902866,
77,165.3089143,158.7691091,148.7733931,153.9276632,22.88547288,171.7000491,
78,162.4814783,158.5198578,166.5454846,162.1400419,37.7751139,178.1098824,
79,171.3576237,167.1890528,66.95646566,163.5292613,98.38687679,176.9579589,
80,179.0558565,174.0018261,167.2846081,173.0938139,159.299856,179.7102166,
81,176.9827759,176.9387789,149.6479115,179.592563,153.3492597,178.6079989,
82,174.0876519,172.531668,175.7641657,179.8624728,160.5280643,179.6918471,
83,175.9932641,170.7272191,175.7641657,171.5274604,159.5716958,174.4120619,
84,177.5627168,170.7151725,170.4457488,168.447173,163.1329396,173.6585104,
85,179.8098241,176.7133948,169.2735017,170.5574507,168.6591352,174.4108934,
86,178.2639366,173.2226667,168.532113,174.5677825,169.2939997,176.4103166,
87,179.6625355,174.1628993,169.7475192,179.7356909,173.1331019,177.3470962,
88,179.7923891,171.2322147,178.4459766,178.9488225,174.026985,176.8783035,
89,179.4573295,172.7621991,177.2358031,179.1683102,177.915986,175.9081416,
