,86.14.mp4,87.55.mp4,87.84.mp4,89.82.mp4,91.44.mp4,92.06.mp4,steps
0,131.4754099,148.5246161,178.0078408,175.7794498,142.6622328,169.8551377,
1,157.8964094,140.857615,159.9698078,174.7355183,143.8412734,165.0825217,
2,171.150756,147.8492557,160.3351206,170.7879685,161.7543851,168.9066448,
3,171.7644069,145.926718,160.5993908,177.3442771,162.2234211,176.295756,
4,167.5256221,155.4904449,161.6888023,177.8607037,163.2193841,176.4784278,
5,168.895815,160.4226892,163.886145,178.5737722,160.9005271,178.1295149,
6,167.6713917,163.695703,160.9884109,178.5482032,167.1662324,179.7343601,
7,171.0432266,167.5087319,159.178921,172.8924138,166.0540696,177.6954365,
8,169.9441161,164.0628839,148.8883132,175.2700372,162.745035,178.6285546,
9,170.1941402,163.3658116,147.1295118,175.1199847,160.3168911,176.2334917,
10,169.4139146,159.8799583,153.7155919,174.8662987,159.8470443,177.354634,
11,164.1709085,157.4613394,169.2160326,178.6942262,165.9190566,177.8805236,1
12,165.5519507,156.3471976,159.7847725,173.618191,159.355856,179.6769251,
13,174.4252192,156.7514683,152.2376447,173.4219671,174.5839919,177.6356976,
14,166.8087057,158.9134746,153.149084,169.7501796,145.7345629,174.1401053,
15,168.2594547,152.5027284,148.5981891,170.0489632,141.0711435,172.6913709,
16,152.0472602,149.8205995,144.0340826,168.2206512,143.0086264,173.7387501,
17,155.1359754,141.3034859,149.7188416,166.9830062,146.5754005,176.1359214,
18,155.4228977,145.2264354,147.2483761,170.1610605,138.6785774,175.7926854,
19,154.0176456,147.4041833,149.0318813,168.6825039,148.1689662,178.6200945,
20,152.0372937,147.0549127,148.0510467,178.1389259,141.18554,173.263622,2
21,157.1958835,147.1463685,147.284821,178.205088,141.3327112,172.5969383,
22,153.4926435,143.8966304,145.7316269,177.0786113,141.6078189,172.408551,
23,151.1817986,152.8603844,145.854358,178.7511945,148.722633,175.9357763,
24,153.1367594,148.4645936,148.6352017,176.9536338,157.4519678,175.5174033,
25,150.4237625,154.7107217,148.2853392,179.8071623,149.0408112,172.4460758,
26,135.9934422,152.2519437,150.6791333,174.4727917,174.4135809,154.15346,
27,146.9968296,154.2810249,141.3969377,175.8466206,148.8929932,178.188853,
28,134.2135401,156.0962399,154.7744637,175.3107841,150.7743474,171.6014738,
29,153.6634843,141.1314678,162.4483564,176.9586377,149.9225612,165.6002273,3
30,158.1666304,149.7697571,152.5160125,177.5976055,151.1294523,167.8757836,
31,156.6466076,147.4996298,153.9452395,174.1356843,160.0398809,169.4753542,
32,156.0071859,154.3112602,143.2805591,167.3499047,159.9939957,166.2937665,
33,158.0740557,148.5395686,128.6014526,165.144704,154.3461926,163.9435512,
34,150.295387,139.1311308,119.1811806,166.8242859,146.9843683,162.4284176,
35,152.3949982,137.3451374,137.3267774,166.8183437,136.2889574,154.6267122,
36,156.8365678,139.7405837,138.3891233,175.6183241,146.151221,161.8043268,
37,142.5835496,140.0737337,146.5676878,174.6105419,137.9896484,144.450473,4
38,144.3926221,141.275588,144.8252356,179.2927779,138.8465846,141.3843439,
39,145.2460197,178.5929416,162.0225633,173.6905783,142.8382814,137.8422982,
40,145.2084833,145.4351914,133.6219795,175.9637271,142.2220369,137.6742954,
41,153.407382,149.0823524,133.2702251,174.5969048,138.8749689,142.2081518,
42,149.5235904,147.7026644,126.431558,176.6272083,164.7530605,148.3610372,
43,148.5340219,155.8128852,146.8659941,175.1607799,137.2756791,160.6922349,
44,168.4594386,166.9591453,160.2422011,179.3260942,153.1562722,158.7775775,
45,172.0395264,171.2514931,155.0389795,178.2744427,153.811961,150.5788786,
46,161.0477211,165.5440572,141.1900637,177.8792571,143.3050587,151.0654445,
47,157.3029584,155.3928555,144.7500262,179.9450848,155.1675217,139.0886574,
48,152.8881973,156.7273169,133.9066829,176.2544698,146.8477391,159.2250604,5
49,143.6427058,139.1144956,134.3616568,173.4733792,147.0341965,173.6485285,
50,141.4701709,129.5455302,129.8088091,168.2492487,126.4763641,128.7157831,
51,141.3403136,144.2208507,130.7292473,145.9710908,129.0856852,146.3804586,
52,148.813977,133.8009071,127.405087,143.9528174,119.2404099,154.025013,
53,143.975908,131.6108969,128.4864795,141.7758871,121.5655791,154.025013,
54,178.4627435,133.9157213,141.8242516,125.4325294,119.5697531,154.025013,
55,174.8160096,128.2809838,153.8365891,125.6415095,131.6715418,161.3317208,
56,135.6629581,134.0494503,153.6672389,136.0524112,126.6821454,162.7274167,6
57,147.3079707,145.0823803,135.043231,132.8235372,121.8102384,170.4029074,
58,148.3253466,146.1145304,136.5763233,145.0016151,140.5166075,166.2016396,r
59,116.8641545,151.477843,105.7008069,141.2202742,160.1883743,166.5344699,
60,88.93640913,149.4396429,64.07782194,133.8454537,153.0932038,144.6712521,
61,120.714671,137.816767,93.50987302,113.3561215,146.1483629,129.8293612,
62,105.2263478,118.8122379,92.29116175,102.6172868,117.0785274,101.1128047,
63,123.0670867,107.4482474,109.5690511,101.1665298,118.7792356,125.2968061,
64,141.8285127,102.3353448,115.2674995,102.7494555,102.4047077,118.7531066,
65,155.0417473,112.4442975,136.9218574,116.2017807,104.2283875,135.5958261,
66,154.5179522,143.2447741,159.6386584,139.5270072,98.06449569,142.7072159,
67,173.3309268,152.1930028,173.2257896,157.3529353,110.8905266,151.109111,
68,173.0060943,167.095335,170.7795546,157.1193253,128.7847181,170.2342581,
69,172.7413024,174.8078288,172.8128334,166.2290762,150.5368936,175.251137,
70,172.0430914,174.5218837,168.6875041,156.0594505,168.8680822,173.1613483,
71,172.3807432,173.4548201,168.476097,147.7820697,167.2752721,173.9190568,
72,172.0092556,172.2388489,171.8499076,148.899559,170.6825953,173.2806214,
73,174.2441546,170.2163518,178.0172254,159.303061,160.5922525,174.1162971,
74,177.4992739,172.6575888,174.4017878,157.5868417,147.7464538,172.2372279,
75,178.1307585,172.4887559,175.4332831,166.4422193,153.3739112,173.9665185,
76,178.2557599,178.1356283,179.374829,175.4212283,162.5450336,175.487632,
77,173.6490867,178.3666659,152.5931334,173.7529101,164.8765999,176.7402444,
78,175.1326703,171.0968126,175.3224557,167.7579004,162.5018761,178.7817825,
79,163.7374103,176.5087792,168.9038206,167.0579275,163.6241411,178.0044079,
80,125.3847753,130.7520183,134.8493883,156.8025988,132.0389164,177.3643639,
81,103.8344551,133.1880716,167.2666172,143.7403987,151.4192477,177.1361363,
82,92.24839983,48.89440562,173.5880357,123.2110354,151.944324,179.1849007,
83,51.32673445,80.31727823,173.5880357,98.23706086,154.8950789,177.084001,
84,55.56466774,67.06720906,138.5923711,75.34013515,151.8367091,177.3184501,
85,158.31344,110.5781433,166.1643451,75.89251028,164.8512432,176.6048892,
86,173.5708621,95.63821803,169.7357292,72.09620778,162.9441351,177.1417303,
87,173.5052659,140.7947736,170.3684433,83.81826697,168.1486728,176.7526624,
88,173.4851638,176.2892021,176.9493793,102.8537199,175.6386368,177.6415827,
89,174.1470397,178.0078408,119.6871449,116.202484,169.8551377,177.1487064,
