,81.06.mp4,81.17.mp4,87.43.mp4,steps
0,170.2793151,0.766625568,0.012350465,
1,174.2154496,175.5525655,178.1252417,
2,174.1576036,144.5215472,174.3279564,
3,179.833358,143.7398152,169.7482853,
4,177.9915686,146.8857643,170.8554592,
5,179.6338924,149.9142116,178.1652174,
6,179.6509454,167.9833148,177.9517839,
7,178.7092016,164.6919897,148.5850787,
8,178.7625624,155.8952657,164.8569685,
9,172.3944878,155.0884968,161.6214067,
10,169.2876018,143.6166609,158.5081098,
11,163.8426432,132.9636174,136.2493747,1
12,157.3909791,129.4245507,129.6408598,
13,133.9846344,149.9228576,129.2365404,
14,137.6199933,149.618494,136.7995686,
15,126.8716781,155.1391814,132.750786,
16,123.6019138,160.3097898,149.3610701,
17,141.2300348,159.3192129,156.9640158,
18,140.0094952,163.5262534,160.1022409,
19,157.0252568,162.4498889,160.4825812,
20,161.4061502,172.0238912,159.9787342,
21,162.0894329,173.6408268,161.7817241,
22,160.4303448,175.3626584,162.1867837,2
23,164.9482982,174.4717872,164.0369194,
24,169.3830309,171.0206182,169.2294819,
25,168.7510509,166.0441695,172.6706951,
26,168.5640076,160.3306956,175.9367537,
27,171.7203114,159.325969,167.0379106,
28,172.5804428,157.4842049,171.9939018,
29,172.4353121,152.7684424,156.4696978,
30,164.605381,148.5651399,158.3744039,
31,164.44614,147.865929,154.0130045,
32,156.9520318,148.0009406,138.783357,
33,156.6818167,152.3527237,134.1261853,3
34,148.8867738,157.6600739,146.9302243,
35,148.373782,156.9918116,147.7645241,
36,152.0736713,153.1674645,153.4159415,
37,153.873274,152.1336033,153.8752406,
38,154.8475893,152.1829024,155.0802398,
39,154.6786844,151.247611,155.1800897,
40,150.7284306,153.3002233,154.5348457,
41,150.1855721,157.1576072,156.190782,
42,148.2792723,156.1917675,154.0834387,4
43,155.1719094,162.9520377,157.8542089,
44,155.3148386,164.1741721,171.2052074,
45,170.3591602,160.8665553,159.1784418,
46,170.8185267,161.3482498,157.0877775,
47,166.7123885,159.2840791,158.6881417,
48,168.8406134,154.6379903,158.6293643,
49,158.2578611,154.8180797,156.1142344,
50,151.6949113,151.7065587,153.6174004,
51,148.9262759,151.9422766,153.1948407,
52,149.8702587,155.245218,157.066537,
53,154.5746101,156.0153628,156.7392928,
54,156.1409404,157.9035859,155.0546879,5
55,163.981721,158.99244,157.5047934,
56,164.0503161,158.7046948,155.2572861,
57,167.5183644,157.1917879,155.1229293,
58,166.0444273,158.6663213,163.2401252,
59,167.9241045,166.2697024,164.0854389,
60,166.8684552,163.3594364,161.2416196,
61,168.5723105,175.557822,163.3793712,
62,163.5282508,164.5899073,178.4812027,6
63,158.9187946,169.976459,172.8875385,
64,176.7995507,168.651947,175.3043263,
65,176.7283102,161.0565148,166.5735515,
66,164.6326904,142.7730037,161.0281313,
67,162.8769219,133.7942524,161.3195433,r
68,169.3367146,145.0976722,159.1143531,
69,169.0394258,145.7357752,153.047641,
70,166.1069812,132.9129019,132.5119068,
71,164.5637548,120.2751642,116.5763206,
72,160.0677658,121.2413371,93.08089647,
73,160.5228483,99.81849504,35.342636,
74,157.3587587,1.966821726,21.38763624,
75,158.8482712,2.146377387,31.66278253,
76,161.2552988,0.023246103,51.34984265,
77,142.9701996,13.6654078,51.34984265,
78,163.146992,0.13151937,145.755206,
79,168.245439,22.75131298,19.21651181,
80,46.45049338,11.19726205,51.73263928,
81,9.666181615,8.083158098,27.05374438,
82,57.67801489,8.937453857,31.47507369,
83,176.1687058,0.924543065,13.67789539,
84,160.569454,0.924543065,29.37025555,
85,31.33288299,0.924543065,17.33119582,
86,17.32148478,8.490705665,18.11442699,
87,17.32148478,89.49442157,13.41005524,
88,0.049936815,117.3315402,20.26469683,
89,0.766625568,0.012350465,17.21033219,
