,89.13.mp4,89.75.mp4,90.34.mp4,90.61.mp4,steps
0,177.5062566,148.8293077,138.6137326,177.4119024,
1,176.2596092,174.3912691,170.221539,172.2258246,
2,173.3681564,171.4240933,175.0556947,173.6612939,
3,172.9565943,170.9306139,171.4290621,172.3157987,
4,167.7826853,158.5030553,170.6649844,161.4775098,
5,165.3195383,157.5886999,154.3774891,162.8415056,
6,169.5618683,142.4345806,145.8314119,150.7762683,
7,168.9584465,127.0949803,148.3301632,154.7333605,
8,127.7365446,122.3636014,146.8172903,135.0631372,
9,166.5648088,164.4528047,174.3659224,177.7510943,
10,158.2329301,170.1040355,176.5420813,178.4778444,
11,173.0094857,170.0878365,175.1621013,179.2246487,1
12,172.516507,168.3513638,172.779944,170.5330193,
13,175.6913703,159.9870104,157.2221729,148.2182671,
14,163.0510771,159.2585385,154.8267654,149.8680422,
15,164.3664441,136.7195816,153.4037117,144.3152568,
16,175.8982866,151.7987454,151.4533268,156.0630445,
17,174.9640703,150.2876994,169.0207334,175.6172172,
18,168.3362773,166.3826942,179.4069584,176.6974361,
19,164.5404504,177.7107642,179.8779733,176.0952898,
20,164.6539506,177.9582624,170.950799,167.1484118,
21,165.3475591,168.4701851,168.8259011,175.1459986,
22,179.4640866,178.3300642,176.2410186,179.0213255,2
23,179.7578179,179.1583714,178.3714062,176.6755424,
24,178.1937453,173.2352041,179.7637776,175.5640451,
25,175.6293336,160.3714933,179.7942205,177.9127824,
26,177.1349572,170.1520331,179.5373267,177.2966185,
27,140.1992388,177.5145448,179.918846,165.3373124,
28,143.5726017,172.5142693,176.5470109,160.2471382,
29,144.4861825,175.5678195,158.0890068,158.8649275,
30,156.8008542,170.2731083,178.0188888,172.7179648,
31,177.1674132,171.4914004,176.797244,168.4494784,3
32,177.1750741,172.9083765,176.3806311,155.8167855,
33,176.3094173,158.2131101,170.6631865,165.3655641,
34,166.3139935,169.2364823,168.9382159,165.4352799,
35,166.591678,168.8698115,170.3482328,175.9430481,
36,161.2784717,176.0541062,171.6376271,164.9938988,
37,161.0612321,168.5942007,169.4970628,163.5945382,
38,157.0553689,168.2351532,166.3910324,169.0280718,
39,165.4187859,172.2074642,166.198773,168.9476116,4
40,165.7519101,171.9917161,163.6797616,148.6768304,
41,171.8391268,171.1080097,154.8740056,178.1189449,
42,158.8015036,178.1083368,157.9948974,139.8271941,
43,165.2536486,175.3483324,159.4001946,176.4569169,
44,162.8805481,179.3185453,177.8860182,176.997649,
45,159.1907583,175.2083837,175.3570818,178.8614436,
46,159.9779981,174.6573728,179.9508939,175.3030372,
47,161.8149618,174.5360514,176.2998052,169.8969158,
48,172.7204318,174.4595436,178.3145441,169.2406423,
49,172.8483844,172.1137088,175.0795507,165.5131039,
50,174.5662821,172.0648974,176.8205643,174.1354273,
51,175.3681013,177.2634355,176.5348788,177.1937692,
52,177.4964453,178.3182907,177.6849993,173.0888605,5
53,179.4990119,179.7813945,176.7706639,173.1239538,
54,179.6840284,174.0260103,178.1708275,162.6441377,
55,172.0074605,167.5665818,177.2114994,177.6563375,
56,179.5414353,165.9907839,176.0377172,176.7339006,
57,179.7182818,176.7819026,168.5614806,168.5646525,
58,167.7351791,162.6710223,179.5575567,163.172953,6
59,161.863677,161.856037,178.481548,177.5093542,
60,160.3934563,148.6183094,165.6693338,179.1185178,
61,161.6655998,163.4254597,165.1636028,167.1635405,
62,177.9585698,171.3923457,165.1636028,172.7529816,
63,173.6967691,178.0899922,175.9775014,155.3166708,r
64,173.5336728,153.9991723,173.9446736,151.5370468,
65,151.5008604,151.7820859,177.1098207,116.1787473,
66,164.4624013,176.4496902,171.5871768,124.5862567,
67,179.5638341,175.2467087,179.7778441,164.4050503,
68,176.8684044,170.2943047,177.6939771,161.7107905,
69,163.9184973,175.8576458,177.037708,154.0461325,
70,70.34420506,144.4488978,175.6713459,150.7823308,
71,115.2588627,176.3054701,174.7780775,114.1302742,
72,163.3852491,171.0851632,172.6032937,102.3621174,
73,168.6096497,174.428604,160.5582169,140.1197472,
74,168.3062573,150.1984674,176.5453661,172.6381553,
75,154.4305748,141.0607927,167.3533196,172.6381553,
76,152.7000978,138.9638441,172.8787681,143.633411,
77,134.1164427,143.2960609,119.2143669,143.633411,
78,137.7447884,145.2201464,147.0790507,141.7181093,
79,144.449716,162.5058177,162.511149,140.3995041,
80,134.8966477,162.5058177,143.0337795,142.4429524,
81,134.9354062,143.6107332,156.8412384,139.922209,
82,141.9216601,158.3072259,161.0693647,132.9803265,
83,147.0154736,154.4320059,123.5510827,134.2552434,
84,144.0742829,153.4687318,123.5510827,141.3920439,
85,152.6271641,151.9628119,145.3359884,148.3679505,
86,172.6527689,137.5046281,151.5199478,139.5984962,
87,157.4747393,139.9640972,150.4811865,132.4882598,
88,145.6407493,150.5381839,136.9396034,131.4827332,
89,148.8293077,138.6137326,177.4119024,98.59766768,
