,82.94.mp4,85.52.mp4,85.97.mp4,86.14.mp4,86.40.mp4,87.08.mp4,88.12.mp4,88.26.mp4,93.90.mp4,steps
0,169.1423415,127.8121335,134.4794023,145.3316878,127.9912851,132.6993421,177.1453163,89.3933499,143.7403037,
1,164.727294,113.6747763,131.9765611,148.5049036,127.0467992,128.455979,177.1453163,89.3933499,143.7403037,
2,149.0667475,126.9178565,137.4197943,123.4868669,99.67971277,121.9366389,128.3948273,127.515639,145.1731476,
3,126.2025327,102.9928133,104.1255409,175.7884114,94.31441441,116.3231002,179.2453065,108.2650312,128.0945672,
4,156.6550838,110.5108196,103.3428061,97.737978,93.80405603,119.2846365,169.3298504,107.0783684,126.331016,
5,118.0730314,175.9222732,106.7334163,118.1237556,122.4090875,177.3176104,169.6676692,128.8159681,136.6975415,
6,135.2429787,178.4507234,124.9562497,146.2551693,174.2503185,167.9530243,166.7990763,150.1754651,175.8714843,
7,122.1676552,172.0942899,125.2336196,146.1614867,178.5533658,178.2975504,176.6228061,151.9191627,164.039998,
8,126.6597598,168.7751432,150.4700889,143.0081583,168.5028036,169.5094178,171.1965583,158.19219,167.1548516,
9,157.698372,178.3834184,166.6969403,160.5936957,169.2813135,145.6316663,160.8748282,170.0059822,167.6538869,
10,145.3024097,173.2826072,169.2253218,171.0920814,178.2974545,161.3027239,164.6487707,172.2760895,171.442259,
11,154.6893127,173.3350006,174.3757635,173.0641601,177.6969286,169.210937,160.5765466,172.128136,170.1681024,
12,143.3571858,166.8680446,173.8205173,175.2646646,169.6675845,176.1544536,123.1067448,174.3988167,178.3826858,
13,129.2080791,139.3755651,172.3894968,173.170919,170.2136981,176.4454925,171.9366912,173.9147531,175.8467469,1
14,141.2047597,158.4693444,169.410064,166.0970316,165.95745,175.6280463,170.5615955,165.3303762,174.1770211,
15,174.1218131,173.8050126,173.5348603,168.1720553,165.601955,165.2546441,163.9209665,165.1956207,179.3786893,
16,178.9957407,179.7524645,174.4930351,170.0291328,174.3528281,166.4225569,177.4524456,169.3585837,171.7445334,
17,175.7050105,175.1886279,164.9771814,179.645738,174.1394133,174.0734671,171.6893979,178.1497536,169.180108,
18,176.7592359,172.4879659,160.1469584,172.2971102,171.635919,171.5976518,175.7071264,170.4824157,160.8393913,
19,167.0889564,178.7835189,154.0896389,166.2391621,173.3718619,171.5308825,157.4251536,171.1203214,156.5021524,
20,156.4977021,145.6263732,136.3007838,175.1626873,171.2825265,170.9452345,172.9525304,163.682597,179.5753946,2
21,169.9628899,173.0098458,138.9259215,141.9490319,164.2568218,139.7424996,156.2852408,165.2829599,139.7766441,
22,172.3519712,173.2551519,166.1333258,161.8673694,173.526877,153.6935568,144.3261463,160.3843722,141.5033838,
23,176.1026744,167.0516111,145.560852,161.6523704,172.8761926,161.0776015,172.1102386,168.4109909,175.4173056,
24,177.957498,169.8976847,175.292088,168.5214719,172.7409998,162.5513312,179.020912,176.9272576,175.3446618,
25,172.666479,170.8597196,178.163446,167.2347534,172.682794,161.6508359,170.6270419,179.2118951,171.8852103,
26,169.2677626,174.5074384,177.327906,171.7275112,173.5103976,169.3734931,169.1008299,167.2986636,169.2292823,
27,176.3757398,171.8857932,173.7618284,172.1261457,172.7230224,177.5741253,174.2861893,169.4883117,165.9222642,
28,169.2810287,179.7365352,168.2543005,175.8074644,176.1494788,172.5600907,165.3142025,172.3330182,152.4993408,
29,173.5138405,174.2670473,158.1545271,158.2164227,161.9009779,178.1190203,174.9475318,168.1854014,172.2896231,3
30,173.4262966,170.7554473,158.4922501,153.1753067,156.2238127,162.866956,176.0029651,157.1845805,176.3225785,
31,169.8438203,170.7144326,161.3131153,152.028236,156.3801014,163.1353146,170.3455396,158.2498889,178.7694215,
32,173.2552212,175.3608368,162.4105885,155.1572222,156.0354926,153.9326675,175.1287045,154.9853318,175.4165609,
33,178.5102524,179.2092424,166.0983171,165.8382589,163.4713735,151.1475074,173.9031537,158.2372413,164.6856044,
34,171.8991636,169.4849921,170.7122648,176.9246866,160.254092,158.4252338,173.0553558,173.4570835,170.3744099,
35,175.0630287,160.3269628,171.8694399,171.4067985,179.0042646,169.0810883,166.2756321,174.7751233,165.6796499,
36,174.1307225,179.5281825,170.876051,150.7145788,168.8959266,173.1846387,162.9789072,165.8038855,179.1369167,
37,178.4176804,176.2188535,169.567103,168.5406634,167.9309979,172.0196352,171.6485462,161.9163406,175.7487339,
38,173.1425164,178.5698487,144.1141543,158.7303284,175.3552526,176.6689831,172.0377315,170.6575809,177.4964858,
39,174.8414822,179.3794989,171.9183693,178.4292791,160.6539195,175.9137199,173.4405923,175.8797314,179.3420007,4
40,176.5517596,177.1109573,170.8811894,169.3227384,158.5706942,175.305856,179.3044131,179.7257641,176.8453938,
41,179.1594098,151.168748,171.5178471,166.6944237,172.043869,169.8935522,170.1674837,176.9084915,145.3195728,
42,158.6274644,148.0361876,168.9366713,175.5137648,172.1714605,172.9811923,153.3844287,171.3360341,147.4625608,
43,158.1459998,140.7853416,179.0881742,162.6895207,172.3714463,173.1139051,158.960729,174.9896233,130.715514,
44,151.2493469,151.8750616,159.1606011,173.7785166,175.1812991,167.9395064,153.4418616,173.4743109,154.6537731,
45,154.0992324,155.6355287,172.0619824,177.1339917,175.6821961,174.5833617,154.4472887,169.8465955,150.6005991,
46,156.1589542,140.0141497,168.1944187,178.899995,175.9272333,173.8324106,163.6545008,167.1799047,145.0620345,
47,174.1059845,154.2464689,174.0999018,175.607953,179.9560704,179.3838497,147.6607007,175.7902735,148.8996958,
48,159.8933257,160.7272174,167.0855338,163.629591,161.3362003,175.7019468,148.043444,167.3754138,158.1962817,
49,166.8752784,177.399195,167.3256963,165.8615685,162.0316845,176.3547039,164.74605,167.3998338,159.3920564,5
50,179.1902363,173.5188692,157.8422159,151.4269418,149.4248284,159.0382585,166.0252415,152.3514996,166.0823433,
51,179.0105976,175.9574099,153.9049106,143.8035725,145.9053414,144.818941,168.9518223,147.8912484,176.4805259,
52,173.9517991,167.0662502,147.6163311,141.2137861,143.9869944,145.1298089,175.0158362,147.6873429,172.8023606,
53,168.3206933,169.5468485,154.9489768,145.9594657,149.6432363,142.8236736,173.8896393,144.849669,167.5118131,
54,168.2821217,166.0441565,145.6389122,148.0863383,161.0159226,143.9208485,168.029388,161.4363749,167.7784654,
55,169.2205772,171.3671884,165.6571931,149.040176,161.7501775,143.4339756,168.5393133,164.3678979,170.4528978,
56,175.9367221,172.044698,168.750182,160.8734191,165.5468943,157.0799172,171.1096349,176.2727215,170.1743438,6
57,168.5706087,175.0470451,167.0071581,167.5534099,166.2766437,168.5142002,169.8261805,178.8204812,167.1230157,
58,167.8681646,173.8966743,163.6643731,160.7552146,177.2826217,154.2930392,173.7259451,178.6934956,174.3119144,r
59,176.8411569,174.0727724,173.4893853,159.2733994,173.0688311,159.8079887,133.7308437,179.6730068,175.0189574,
60,171.5496946,174.5171859,161.0172959,151.3786778,150.2737789,142.1470777,151.8047022,152.1246553,179.8038913,
61,168.8319388,160.421997,153.7963755,166.0149215,150.2737789,171.3494808,61.90843773,133.6143012,168.2781856,
62,162.434035,148.6837881,144.4071367,154.9570937,169.2078737,159.9938453,121.6865196,172.1256835,154.6648666,
63,172.2787475,156.7884479,151.5476678,147.0578405,167.7381175,157.9525793,171.3257554,145.9818205,178.4863312,
64,173.2540142,154.2492619,137.2442198,165.690073,150.4747842,126.3303084,151.0255576,178.6999296,145.8964979,
65,165.2548935,129.651484,151.9865678,149.5033822,158.2179096,138.9935199,169.3940286,176.629678,1.732446737,
66,166.8535346,90.19487081,137.1110319,126.0262387,128.9040296,153.2176473,141.74974,141.2352967,62.65956269,
67,169.0704492,126.7992533,131.6283797,158.9770415,128.0468468,166.3468405,78.18168208,125.4839974,87.08919358,
68,53.82852299,108.9218504,128.7694735,120.8081497,137.636738,176.9919133,81.39050778,110.2043434,90.16550083,
69,102.275483,166.1943933,122.4626153,125.1936876,54.24174186,125.0583855,118.7576363,122.8733722,97.00334001,
70,116.7923573,122.1409857,136.2581833,125.1936876,138.2061782,130.314562,132.5730716,124.0544076,121.0051549,
71,136.0600037,127.9219829,139.652901,148.8254465,137.6110602,144.839071,179.826128,131.5507725,120.2555386,
72,140.4493853,131.344932,144.355079,136.2632658,139.1034327,146.8006072,146.020044,131.1743632,126.5999214,
73,171.473678,138.5472456,143.7711166,134.8464528,129.3050866,145.4336587,137.8537294,132.0348272,142.4266051,
74,148.217208,140.954775,142.5137926,144.5532213,144.5708213,134.0232445,144.7434815,138.0132747,141.3348314,
75,155.7203293,142.2494573,143.7062339,149.2229846,139.3619265,138.6016338,146.6680043,131.6948197,151.9915075,
76,167.030463,142.5201908,143.5339319,136.3716499,140.4787126,141.0882082,146.6680043,121.6590966,131.6102602,
77,156.0534387,157.4871763,143.4610553,135.9670382,139.8430763,150.7126865,164.0801026,120.577848,141.9807984,
78,149.2987859,149.8619403,153.3474519,140.1068975,140.4794607,143.4672229,154.3072638,115.7730108,131.5790319,
79,148.1404413,136.5287547,155.9107031,135.3551099,140.4316768,148.3757893,142.8415389,108.4752857,119.3862029,
80,139.4901062,145.2432297,157.9185646,134.149124,142.3364381,157.9971707,165.6370718,102.2801019,130.4977943,
81,152.7866003,171.4546921,170.5360974,129.550906,151.3054824,165.9066809,157.2597819,102.949438,109.5848292,
82,141.3159646,169.47497,162.1285339,128.4814001,156.783522,174.315799,153.8458483,104.9350584,153.8534135,
83,161.359883,133.2974531,179.7944474,142.4643707,176.0155238,168.5028342,144.3013645,116.0272408,161.5372352,
84,173.1576406,114.4779449,175.58245,142.2173554,163.3074545,163.6948062,135.8500664,125.8082566,139.5759437,
85,96.90990296,115.0936532,174.9213964,143.3919994,163.0451904,157.1932799,119.2772119,127.8758594,146.4317461,
86,147.5839705,132.4746338,174.2661245,139.0135741,167.5581952,161.1963928,135.1607782,133.4974618,146.4317461,
