,82.25.mp4,82.52.mp4,87.22.mp4,87.71.mp4,89.78.mp4,93.59.mp4,94.24.mp4,96.29.mp4,steps
0,172.1089164,108.0750364,173.5381713,176.5548715,171.1344732,102.154705,178.9746947,135.079176,
1,164.4745989,166.1160847,167.6848285,156.2286394,160.9217972,174.9229402,178.9746947,160.4100796,
2,154.6149505,156.8844625,157.6350897,157.0971181,151.2836093,174.8405247,167.961391,162.0539257,
3,154.8532923,155.0905296,153.7841974,148.831025,145.3081589,176.2479683,163.1464206,152.2487033,
4,153.7883409,157.2908709,154.8918385,150.859343,142.5019258,174.1354611,155.9330178,152.557444,
5,156.1056917,158.6104103,155.7873435,152.378714,149.8881269,172.6647058,158.3783251,160.0109246,
6,163.8394984,169.3694609,162.1697012,155.5475359,159.7647745,174.0083418,159.7218399,163.5181843,
7,164.1667944,172.8423924,168.6813527,164.4760053,160.324816,172.6431917,155.1253395,168.9731067,
8,164.122752,174.7636153,173.401345,164.9138309,159.0866235,175.3235547,164.2066511,169.8813337,
9,163.3936405,172.3030717,165.7910732,166.3092363,164.9148536,175.5412833,167.9240921,165.7826481,
10,166.3271013,170.2134682,163.7790751,170.1564432,164.6559136,174.5494822,166.7769421,168.7098571,1
11,176.6197192,173.3599315,176.9753148,174.1186008,176.2360327,172.4212903,175.0873813,176.9135882,
12,171.7749141,176.6598474,174.5074953,162.4422023,170.074605,172.4073005,176.4624078,178.978326,
13,166.9214809,173.339298,174.377197,161.762238,167.9459414,172.7265147,174.8438067,178.4044377,
14,171.2856919,174.1000594,175.374098,160.8960947,170.2298562,170.0762305,173.2790238,179.0668908,
15,170.4708299,170.3167423,179.295539,165.498767,172.3529214,170.6554533,175.6703713,179.3266281,
16,179.7043575,165.2193459,178.8736723,173.883947,172.4987991,167.5056277,179.6195155,169.5591441,
17,167.7830223,160.6181229,172.9905572,168.526602,176.4760969,166.5432719,172.7186802,163.6096008,
18,163.9041163,157.6550003,163.68225,160.6120284,167.4063028,163.7170037,161.6715424,150.9980782,
19,150.8402013,159.1847957,152.3028944,148.8445376,151.6591554,162.4343565,161.0957843,150.3418992,2
20,136.4756245,147.0871065,144.2116649,147.9827374,147.0783006,159.7735456,144.6282017,149.7374365,
21,136.7245004,146.6693355,139.746367,139.8736471,131.6299898,159.8831547,140.3317704,145.8558285,
22,167.5135495,151.9695658,138.8635843,155.8689313,166.7461919,167.580809,141.4651157,152.8046113,
23,171.4978421,156.7725719,156.3933677,148.7791196,133.0350033,160.6926624,148.8452391,156.9858775,
24,178.0377904,163.7698856,147.9397333,161.3607599,157.6838966,167.2934447,153.2826193,158.8245343,
25,159.951538,165.0967185,159.3514709,160.9580926,157.1518395,166.9463136,152.7024024,169.7883922,
26,169.6854569,165.3914099,161.6755549,159.5474201,173.2190621,171.3920306,161.3153347,168.6527947,
27,167.4873848,166.7257479,175.3652401,178.096509,178.1250976,170.114418,168.4965171,176.5490949,
28,177.5140509,164.167416,174.9999982,170.917756,177.6632029,168.8044237,172.5011607,176.742798,
29,166.0357483,170.3193424,171.9852222,158.1853877,162.5777369,170.4807742,175.0786633,170.1814484,3
30,150.1376913,171.2722541,158.1179428,144.8789729,152.7745724,172.9543654,170.6797673,170.1720881,
31,150.4751857,167.3820233,157.3669383,146.8884899,148.7591622,172.2677922,169.4707857,173.4769281,
32,158.7640859,166.3449934,166.482051,143.5767736,159.0097834,168.3269485,172.2913718,173.8857559,
33,157.5655495,165.0304286,175.147249,151.6686761,174.1017787,168.5470424,173.9638618,179.7180397,
34,173.5088099,164.2068105,178.3833498,169.7215314,176.0745301,166.207266,176.3038486,170.5786431,
35,157.8953673,154.7603106,163.8719552,9.342695023,153.4574373,159.836812,170.9138013,157.7328663,
36,102.8938524,152.2386436,150.2861828,159.6639356,82.91668057,154.5212108,156.6535342,147.6760953,
37,106.565386,152.4278906,112.4862627,154.1456509,141.1472726,154.8631805,156.3378971,143.0684323,4
38,162.7678356,136.7087746,164.7886081,174.1736002,158.6238898,149.6710608,147.7152607,141.9960895,
39,160.6024748,153.2122664,178.1745319,164.7608818,126.6927236,141.0727068,133.4622647,135.2399625,
40,166.1534678,148.11804,135.0409116,158.9268033,131.5852418,161.6602987,131.2835002,144.6837816,
41,148.2304769,165.2200636,131.0193554,158.3991658,177.4405253,162.7920646,134.4384776,141.9728761,
42,140.7214551,161.6514741,143.9864272,156.3696321,156.5244011,167.8915692,142.9858285,143.5074618,
43,156.117439,166.4105636,152.4396135,171.6879534,161.982031,165.7958492,140.5981396,147.3607765,
44,163.6811489,164.7574301,153.3108955,171.6808009,175.4589598,172.1930604,149.0622759,146.211633,
45,161.2754539,165.4176743,136.1228959,176.156174,176.7280614,172.1264925,146.9087231,147.7252194,
46,173.7296661,163.7947434,151.1810557,179.0292509,173.1050381,169.6245461,142.3817921,144.9402909,
47,168.2284603,152.6866502,156.0459457,157.3187627,163.4534091,171.5620431,144.7144125,150.5445296,5
48,153.4179405,152.3243246,169.8209071,142.3841753,150.730577,159.2692429,165.3008702,155.86324,
49,145.7972447,151.6560925,153.0369268,139.5519364,144.8836372,143.5360595,168.1379602,165.8963638,
50,149.638873,151.567615,150.0092999,140.6752801,166.2924882,145.858409,178.3760937,166.937472,
51,161.898038,151.5872948,156.2439735,128.9311022,148.1174245,149.3894342,173.9466271,173.472261,
52,160.1982777,154.5783461,154.6431122,144.7863237,147.8223073,176.7381907,168.6825201,165.454549,
53,163.4217447,161.5294473,166.827357,165.6442216,158.8309025,149.7515996,163.1783531,166.5902924,
54,168.4896396,169.3174211,167.6315244,179.7676799,169.5235683,148.2336603,163.9883856,168.1063694,6
55,176.4576449,177.4424472,177.5074143,172.5057683,169.0013698,148.6340241,162.110438,168.3115317,
56,161.1246649,176.0889133,176.3002362,169.7415732,165.0009004,174.8605535,167.5501498,165.4124613,
57,166.6748973,167.8263974,169.2062724,166.6590038,164.7642018,174.8605535,168.4893166,174.2548875,r
58,163.9566026,167.5756628,177.6254138,171.5939643,160.9109966,157.1076176,168.8012626,135.181524,
59,161.7289531,157.2433706,116.6192209,174.7510436,99.73612868,157.1076176,138.0200933,2.25212297,
60,126.6995967,177.6987654,143.1795184,169.4936602,147.4342081,79.23311876,123.6181147,51.96992957,
61,109.1405742,148.5150226,61.40873577,164.2723536,172.5892407,65.12068069,115.0516556,13.69486375,
62,160.8568203,151.834892,153.4158119,160.0589871,140.0804589,65.12068069,112.2213383,20.59142941,
63,178.0727681,155.7480243,145.1614707,147.8933772,140.0804589,160.1798676,100.0000229,45.8134869,
64,96.46981544,161.5022309,162.0825073,123.2078858,129.2199978,176.6293792,75.65183563,96.77782873,
65,102.9547672,179.2103439,64.63292266,115.3760282,139.8350761,177.8884914,1.889367372,96.77782873,
66,99.40998929,176.1038045,99.35700276,110.4051676,136.5121862,178.0675913,1.889367372,173.7614745,
67,134.9578076,174.1755016,62.3338078,105.7894434,137.6904977,177.2965178,1.889367372,173.7614745,
68,91.99597902,172.1863304,125.44355,104.1096737,140.2457711,176.602312,1.889367372,34.85270841,
69,124.3881315,169.0408912,137.7596845,113.6951705,148.5901962,175.9510046,1.889367372,104.2085144,
70,115.7142802,159.6749854,108.7692423,171.2694173,141.0319529,178.382966,99.8583597,158.6319718,
71,111.0660938,155.6597513,161.8267929,158.1977827,135.9768055,176.6886556,99.8583597,132.5949267,
72,120.750932,149.358406,179.5375191,84.1088227,136.5593863,177.4834973,175.4254757,177.223266,
73,124.5433747,148.6373706,168.4014578,75.41009978,140.7891578,176.8629822,167.5253866,166.0986873,
74,139.4713211,139.560798,158.8794038,61.754182,148.4152197,178.2864086,26.61179128,163.2083128,
75,137.2630983,131.0513078,153.1054651,53.19263444,148.8672495,179.544064,37.03938658,119.5313026,
76,130.1126796,132.5880521,166.5379352,50.09193707,143.5728976,178.5884515,174.6258936,168.0201992,
77,144.661414,119.278049,156.0684487,43.41283679,168.2603304,178.7692951,89.17254564,145.3136473,
78,128.7720401,151.3983231,156.0684487,71.15989787,170.640152,178.8956089,69.40796234,113.1076042,
79,136.9270945,173.2831261,156.0684487,98.45811514,136.9008136,179.6371473,93.84722195,2.807087968,
80,152.2518107,171.8167411,156.0684487,103.1556357,129.4995804,178.826769,3.28646246,40.76071007,
81,156.5052358,139.5777834,156.0684487,106.7163124,139.9223651,178.7664164,10.39415152,37.44537877,
82,90.42273672,162.2195681,156.0684487,127.7510246,141.1743732,179.7947123,85.56671168,65.07066485,
83,85.28780435,133.5866931,156.0684487,139.4670261,171.0734815,179.0669228,105.3595232,113.4406939,
84,85.48636097,133.5866931,156.0684487,152.8405242,148.0043853,178.2698662,122.2062571,98.54904709,
85,104.0337786,178.3527204,156.0684487,158.2058147,111.1465272,178.9646964,126.2635614,124.7815983,
86,111.4268617,156.9973818,176.7268294,161.8506719,99.50671708,177.4703792,129.4392673,134.0945593,
87,120.0045625,155.948002,171.6582692,166.2583387,104.7329606,178.5436688,132.3536402,137.3884508,
88,121.0804828,147.0818524,124.3319411,168.2365097,108.5158456,178.4912139,137.0292272,137.8530501,
89,108.0750364,173.5381713,149.8011024,171.1344732,102.154705,178.9746947,135.079176,139.7349454,
