right_hip,left_hip,right_knee,left_knee,left_trunk,right_trunk,elbow,shoulder,height,weight,distance
108.9394424,64.62123349,164.1709085,156.9421756,171.8611688,174.6642207,136.2016862,155.2484114,1.95,108,86.14
106.8832982,67.41748373,157.4613394,138.907666,158.7547849,173.4063678,164.7966122,17.29193236,1.95,108,87.55
158.6899322,0.969999793,169.2160326,151.7955381,157.3166328,178.7824723,67.30283131,22.22448122,1.95,108,87.84
101.2281199,101.7896697,178.6942262,165.8206051,160.6916034,172.7947296,119.4376655,112.4036898,1.95,108,89.82
112.2180959,46.51173336,165.9190566,134.5639068,149.5338234,174.2175444,152.9282985,5.472588657,1.95,108,91.44
113.3370614,100.2332968,177.8805236,160.5155717,153.1424852,167.3416301,94.26720879,85.92328151,1.95,108,92.06
100.6698247,90.01230564,151.6572048,100.5720393,163.8426432,166.778609,155.8423501,36.78910174,1.82,86,81.06
122.6440465,8.507734242,157.981956,118.0721941,132.9636174,177.2579091,5.979132456,9.55648641,1.82,86,81.17
163.4280536,51.83071855,158.9707809,109.9324959,136.2493747,174.6407355,142.3567698,52.88332799,1.82,86,87.43
82.28655499,112.0140188,148.8818736,119.6204357,144.6256462,166.3271013,170.3276809,137.8356122,1.88,103,82.25
129.2732647,50.66909426,158.338737,144.9798444,168.4445205,170.2134682,175.58458,9.268617302,1.88,103,82.52
70.46761613,110.5240682,146.1691047,140.7873715,155.5316547,163.7790751,160.1866464,158.1713879,1.88,103,87.22
76.57761621,125.1642655,149.4421335,122.5535004,140.7785609,170.1564432,119.0723388,87.42380097,1.88,103,87.71
85.35300314,103.9540851,148.0249608,126.9661708,147.6190282,164.6559136,165.2104406,132.0194569,1.88,103,89.78
113.6989246,63.90762888,164.3513746,161.8872062,172.1856214,174.5494822,120.9467953,66.84605524,1.88,103,93.59
116.1945615,65.73603291,152.6325968,142.3230045,157.8646303,166.7769421,151.7223043,57.82995091,1.88,103,94.24
102.1049005,86.15696116,155.6654243,141.5891286,156.1060968,168.7098571,160.2902242,49.3881904,1.88,103,96.29
