,86.14.mp4,87.55.mp4,87.84.mp4,89.82.mp4,91.44.mp4,92.06.mp4,steps
0,179.2550954,179.8582346,161.1371205,177.3286145,142.8444216,135.9976444,
1,177.8883256,178.738507,176.8647405,178.2829414,160.6859224,178.0641215,
2,176.6719138,178.8374523,176.0852816,178.6134427,172.4560866,179.8731557,
3,176.5537505,176.8970936,175.8785325,177.0700717,167.4765389,177.5533001,
4,175.4489281,179.0701867,177.3043318,176.2420169,167.9083443,176.7075243,
5,173.6154301,176.3039868,179.9601586,178.6366307,171.4369481,177.223274,
6,174.012769,177.8755832,176.4043835,177.779605,177.9957316,179.6093083,
7,177.2714403,176.1025184,170.8971069,174.0260163,176.3508846,174.6500994,
8,178.9331101,171.2443037,168.5309361,174.0443968,167.5601383,170.9184566,
9,178.4784446,171.7325691,168.235891,170.1414099,162.1447908,164.3960145,
10,178.9596783,166.0697801,158.6663187,165.8309556,160.9448616,164.9315708,
11,171.8611688,158.7547849,157.3166328,160.6916034,149.5338234,153.1424852,1
12,173.1487136,154.5190161,165.1949611,163.7067346,148.0455111,143.9776602,
13,162.5419102,152.6352626,166.0697084,161.5750185,176.0408493,142.3764578,
14,164.2940411,153.3424453,166.4775771,165.2626549,152.7950616,150.1016029,
15,161.7127205,162.7280767,167.6681729,170.0375129,154.0123532,154.7650888,
16,167.5086462,162.8048133,167.524849,171.3651954,154.9029074,154.1676444,
17,171.2551167,166.1434451,166.82543,172.9272638,156.1591255,159.8332036,
18,169.809819,167.6643749,166.4822895,179.7517741,159.5892871,167.1500644,
19,176.6648974,164.3623083,166.6444678,177.1814385,160.8025402,172.7561018,
20,177.1407837,165.4455052,166.9421598,179.05077,163.5819735,179.015044,2
21,177.7487507,164.5061996,176.99283,176.5310717,162.9933594,176.911324,
22,179.6447449,172.3468983,178.6435385,176.1120971,171.8832614,177.4371913,
23,177.8673681,175.2170533,179.6238478,177.8295214,179.5155189,167.8013191,
24,178.6047775,176.7195267,169.8571516,178.0537402,139.4344712,171.841132,
25,177.7167366,176.8893257,170.1046503,179.1176124,175.0012302,177.5783319,
26,166.8950564,178.7455778,163.6085454,179.8873109,160.5769076,174.4324211,
27,153.2980589,171.016793,160.1869994,175.7578624,171.2316487,158.3163498,
28,169.1944007,162.3192265,139.1519798,170.359944,159.7676775,159.6621801,
29,165.1565649,159.8567119,143.2041043,169.7893551,148.8015678,143.8828824,3
30,167.5393988,154.1437805,154.7196542,168.756066,137.4599106,133.3084584,
31,164.6598996,156.0925438,153.6270966,170.9429356,136.613655,133.5597119,
32,149.8651345,156.8834839,155.7871706,167.9125527,136.9434962,140.7351981,
33,151.6626254,159.0568233,159.8743359,173.1293778,144.3173434,152.8160957,
34,160.2902105,160.5050459,164.1461597,179.399657,148.7539218,152.7671051,
35,166.3330226,162.5473683,164.0723041,179.530711,153.2031493,167.8648548,
36,167.2206711,161.8732653,163.7698759,175.7014711,160.709595,174.5814331,
37,165.1358068,161.0561794,172.3939771,172.6638836,162.1644428,168.5628229,4
38,166.7398999,167.7295271,179.991426,166.0115959,161.9904701,171.3474139,
39,175.8155297,141.711465,164.7422812,167.7471456,177.2376525,171.2991359,
40,179.0547581,178.6658465,143.446567,170.2918292,176.8291178,170.8200179,
41,176.0293012,173.5564783,153.5836971,171.1235829,175.6503596,175.944738,
42,178.6339836,173.7964351,151.0243783,178.8415463,171.2805418,174.5254437,
43,179.9488058,157.0991432,159.7880577,175.9237939,179.0664539,170.3034566,
44,167.4847272,160.2060718,153.7465775,167.230344,161.4688924,167.9558679,
45,168.1498567,156.9785643,151.6798443,155.1696298,157.2788376,161.8106055,
46,163.6113269,155.7704,148.937163,158.0569568,152.9833449,161.1743143,
47,160.4151992,157.9778071,152.2771036,142.0086136,150.0917973,156.5552605,
48,158.0641715,155.0788859,156.3020386,146.831182,149.0924496,158.5881604,5
49,163.9407617,151.5622118,159.9554457,149.4959392,147.4760193,173.0456074,
50,163.5789043,157.2934753,170.2747523,145.3485329,147.4310212,160.5742321,
51,163.002541,163.1836069,175.0325632,147.6146263,154.1992819,169.2964308,
52,169.2326748,170.6136517,173.7436457,148.3004832,154.0750791,179.0692122,
53,175.8367377,174.1811488,178.132732,145.1858378,155.5478042,179.0692122,
54,179.3626736,174.9278287,175.5515987,143.4342591,152.8937591,179.0692122,
55,176.5956196,179.74834,171.9805481,156.1642622,162.0852599,170.5714959,
56,170.6821684,170.8589612,168.1426713,160.7053663,156.4039683,177.6169649,6
57,171.9400003,170.3051611,169.2301105,156.7929319,170.3777085,178.2953739,
