,86.14.mp4,87.55.mp4,87.84.mp4,89.82.mp4,91.44.mp4,92.06.mp4,steps
0,175.2161312,174.20949,159.3564627,179.9922857,143.1896267,141.5078278,
1,173.6391639,171.5834,169.8568972,176.762149,172.7930404,169.2915418,
2,173.3706399,166.8682857,164.5245018,172.5675471,177.5650159,166.7083422,
3,173.4357922,166.3146555,164.7141719,173.2840798,171.2599753,169.7882044,
4,168.0163195,164.6907471,166.6950695,175.416816,166.9392689,169.7195431,
5,169.3972705,163.7244692,169.8448585,176.0395633,162.5652456,173.0307942,
6,168.8288572,164.6380993,174.7985475,176.3814608,168.9760897,172.8308896,
7,172.7442521,168.9646641,179.0107627,179.1927733,171.430214,177.0921752,
8,174.8488081,172.6142329,171.0849848,177.9574971,176.1763213,179.2674968,
9,174.2949533,173.0404993,169.6958967,177.497361,174.74003,171.7061975,
10,173.9379288,175.6025904,167.1267184,172.780497,173.1969602,170.6595647,
11,174.6642207,173.4063678,178.7824723,172.7947296,174.2175444,167.3416301,1
12,173.4734784,167.914654,178.1377169,169.6877231,177.0547058,166.031856,
13,178.909271,172.4018721,179.2830192,169.959475,165.1291594,167.6883486,
14,179.3576027,175.2508448,178.103257,169.5850149,179.4595303,167.9117256,
15,177.0382232,175.2125219,179.0401411,171.8325811,179.9160527,169.4896426,
16,178.7640498,177.3341133,173.4607525,172.2415695,178.6406279,170.1621475,
17,173.4716917,172.295553,170.0586146,172.9448629,178.8439863,172.7746263,
18,176.485204,174.3994713,170.5798677,176.7591474,173.3825936,174.5242633,
19,173.4594476,170.7597012,160.8807338,176.119571,169.8079437,179.5107889,
20,171.8302716,169.9539554,161.1176881,178.1666996,163.3020673,174.1867044,2
21,174.909385,169.650652,152.3724717,176.8191274,164.616958,166.7721057,
22,161.3745217,157.5933841,148.1481264,176.1221493,152.185317,166.7033323,
23,157.2438154,159.5024546,153.2527723,174.0481291,146.8931059,166.3854648,
24,158.86257,151.56394,162.4676169,175.1938346,173.9834375,167.5056117,
25,158.2058469,165.4007086,163.0053236,174.4523384,149.8508884,170.4039323,
26,159.3725041,161.6564854,167.8605237,179.713268,169.9124833,175.4726644,
27,175.4586802,167.922066,164.8691806,175.7204189,157.0783645,177.7227969,
28,175.6110047,177.750017,177.6364142,170.7012932,166.5909179,176.8632404,
29,174.7748611,164.2525382,171.530945,166.0099679,166.936614,164.9776554,3
30,176.280799,171.5682316,174.0427934,166.2806132,177.8954802,155.9749784,
31,174.9081166,171.144277,172.3787858,163.1742444,169.7064519,152.2495872,
32,177.1988838,179.3866992,176.789238,164.0871323,170.0075258,156.1082385,
33,179.4757273,179.7267398,167.1827838,164.9131632,170.5113678,164.91085,
34,178.4839986,173.7807895,164.6023794,167.5165466,173.4719549,166.3310098,
35,178.0408743,165.7122173,159.1939233,167.6417915,172.7000131,178.0904368,
36,168.2895989,165.0412301,160.8436738,174.5240562,168.2690447,172.4412356,
37,166.7380153,165.193248,158.477815,179.3397816,158.9441457,153.9504503,4
38,162.1113371,157.7644338,146.1387581,177.3698715,159.0644288,146.9948756,
39,153.8203067,174.6491019,168.2367546,173.3212628,146.3138041,140.4690287,
40,148.8656002,147.0352248,175.5602104,170.8829869,141.5086228,138.0255314,
41,158.7458462,148.2379538,164.0677196,170.9585658,133.0903373,144.1270207,
42,154.1764386,146.7795053,165.3486325,173.9349001,152.0558514,147.1030271,
43,152.4006131,151.2481621,164.4377532,173.3511556,132.8956989,159.5210926,
44,171.1244395,166.529573,157.2708868,178.4910283,144.9742482,160.6914295,
45,169.5904562,170.6523113,154.7448183,176.3674328,153.1517626,158.7236647,
46,173.6550077,171.0182184,152.2689672,176.7140478,161.7802329,159.1491075,
47,164.3591607,158.7822307,154.015738,175.0614546,158.335064,151.0420678,
48,165.1078263,159.765255,154.0094716,165.4784877,153.4058164,147.7392574,5
49,159.0969041,160.722247,164.5266844,156.1790695,153.2621047,157.3464417,
50,159.9397275,153.5964385,171.3544481,151.494658,150.7115662,168.4714904,
51,163.4628745,169.3521827,179.8655648,153.8687759,165.6545474,168.7391941,
52,175.1126163,172.9018726,170.1714496,153.8271264,174.2581022,178.8045462,
53,176.7511391,171.7292721,171.3955045,156.1867805,166.0851856,178.8045462,
54,176.5437817,170.4605284,170.1036715,167.0500042,167.2005566,178.8045462,
55,174.4988337,172.6259469,173.6171982,179.7031824,162.6709892,174.7989643,
56,178.1607501,175.2358931,174.1691976,174.1455065,167.5553323,177.1909867,6
57,178.1090369,175.1239287,179.0081158,170.0367207,169.4275415,177.1118844,
58,179.3445249,178.3980857,177.4614466,170.2837327,173.1436139,177.7259973,r
59,177.2854833,177.285784,176.0998066,158.7071159,172.5988393,178.3904064,
60,177.0957713,178.5190692,165.6476558,152.7629766,175.1135936,174.9719746,
