,89.13.mp4,89.75.mp4,90.34.mp4,90.61.mp4,steps
0,164.2200939,133.5448395,127.6268409,163.9876893,
1,174.2561698,160.8832122,169.9391924,172.4326712,
2,175.8433349,149.6186153,166.6633665,162.5131817,
3,177.4141983,148.8376716,167.0464019,168.4016481,
4,176.8071854,154.6946942,169.8612158,178.0309262,
5,177.236632,156.7342575,178.330031,178.5726232,
6,176.3101928,169.5808476,178.1359194,176.0504387,
7,172.0605977,177.7980854,176.647116,173.8790918,
8,169.3816862,178.5235908,175.5961744,174.1033933,
9,170.1438071,176.0413641,172.7718667,171.6955286,
10,167.5177261,175.885004,173.2328434,171.5961877,
11,172.5427506,175.2085928,172.662235,171.9387319,1
12,172.7127,176.7875432,179.8937329,176.8676131,
13,179.2299222,179.5776453,176.1424974,178.4164969,
14,174.5484847,179.8148596,179.3377105,178.6557137,
15,173.9783058,176.2000826,179.8285049,178.6648852,
16,159.2141384,173.6730659,179.2990422,167.3698633,
17,159.4844484,172.4604997,170.0773837,149.0053615,
18,144.228843,158.4773684,160.0574266,144.46844,
19,144.5746817,150.9840148,160.6187431,143.8786689,
20,145.3964675,150.6147995,151.9469214,148.9870246,
21,151.2921089,154.1704761,155.3092992,155.5833245,
22,158.385674,168.3917574,163.1220311,158.578387,2
23,157.7105747,169.0747079,160.3838041,161.1350286,
24,156.3958027,167.7883509,158.8009052,161.5443055,
25,151.4453561,165.7280637,162.5633138,157.3982903,
26,152.4728866,166.8376665,162.3539583,157.9659056,
27,157.3766311,164.9354464,162.2811688,164.1407564,
28,163.507735,164.9068801,166.1488337,168.2701244,
29,163.8980733,166.4821967,167.1599022,168.4185589,
30,167.1311358,168.906919,175.1873019,170.52399,
31,176.789493,176.1693738,175.4330649,177.0503846,3
32,176.3521606,177.3619734,174.6223569,176.1123196,
33,167.1860717,178.1873764,179.1999832,169.9933874,
34,151.4996933,169.2033766,175.7137121,169.2141492,
35,150.6340482,169.9293683,176.3666208,157.5451521,
36,144.0655372,155.8410417,162.8058664,152.2000153,
37,142.9540658,151.0166721,150.4970561,150.0450996,
38,139.3807291,150.7048009,156.9622051,148.2548375,
39,142.5958421,151.8407744,153.3033919,149.3726125,4
40,143.0864655,152.0256365,152.5356156,171.3165396,
41,137.8884073,156.5016428,153.1373912,167.9878578,
42,132.0159756,145.5610087,150.4618296,174.0827984,
43,133.8479633,158.6254086,133.548898,168.7798041,
44,148.1188615,163.3905397,165.6941903,168.1886497,
45,154.7976195,170.1928288,164.5075946,172.4966869,
46,154.7015046,173.4279582,164.2758677,168.2658097,
47,158.3331178,173.6514697,168.3333753,170.890801,
48,155.1812237,174.0714539,167.0970112,170.5334329,
49,154.7375547,169.3873452,168.0255665,168.5763115,
50,155.0244608,169.9380544,164.4383995,176.6997835,
51,160.4699912,168.4669692,164.7457775,175.7982799,
52,160.398521,175.5209675,168.3530356,164.4586446,5
53,173.670253,175.3316894,173.6297861,164.624581,
54,173.6875168,161.0370732,162.1894065,152.9766811,
55,154.5519928,146.7634822,160.6215641,151.3886374,
56,151.2810922,145.5849763,160.966974,145.8267825,
57,150.3197739,137.7984115,148.0560945,134.6348139,
58,127.9533527,123.6311214,150.7744584,135.1338111,6
59,141.5162665,121.0038865,148.739772,150.4740012,
60,146.3328684,139.2219221,136.1975891,147.9643539,
61,142.7253946,146.0745743,145.0078521,144.9424186,
62,152.5649165,151.5500868,145.0078521,177.6923854,
63,165.6818852,147.9120753,150.8169051,178.3480715,r
64,175.8756126,177.354205,151.8561578,170.5473484,
65,179.2861714,179.1616515,157.5103562,175.2790417,
66,178.9928902,128.9242992,164.4487216,118.7050729,
67,142.2750003,107.8732506,155.4185184,127.3885174,
68,112.9129608,99.53745296,163.0328794,111.9357593,
69,106.7397564,86.65963647,168.8193349,140.8235426,
70,113.8132995,161.929593,117.912997,164.6197596,
71,120.0859446,110.3806496,110.4107365,136.2078059,
72,132.6974339,126.3278828,107.4497807,103.4011395,
73,126.4800091,124.3552386,122.2259296,125.5319149,
74,126.1804016,126.4002253,133.7989395,83.96016984,
75,126.8248991,118.0418605,127.8880985,83.96016984,
76,130.9013297,124.1813765,127.0582195,126.0146759,
77,129.4720981,120.5813772,160.198514,126.0146759,
78,128.8445372,137.8736316,106.9736048,121.6839667,
79,134.0630905,134.2216789,121.7983217,145.0786277,
80,130.4772419,134.2216789,120.0751162,152.3419731,
81,129.0602969,122.8612409,131.1957304,122.3834463,
82,138.6135697,138.9381068,98.94368172,117.5140436,
83,138.1665616,148.2941436,106.2618518,115.4692181,
84,142.1669372,137.0998891,106.2618518,116.4121605,
85,144.1590298,140.2243383,149.2282317,114.3234755,
86,138.9630584,129.2510569,153.9178731,127.3172173,
87,141.3245002,125.4438093,179.2844988,125.881567,
88,137.4798317,139.3602609,168.2810297,93.96460765,
89,133.5448395,127.6268409,163.9876893,107.2892666,
