,89.13.mp4,89.75.mp4,90.34.mp4,90.61.mp4,steps
0,172.9367308,137.3702173,125.3125615,165.2629014,
1,172.776255,172.7895856,179.5901155,177.7075043,
2,178.3529653,159.547942,175.4537311,170.4898563,
3,178.2258716,159.0627766,176.5300355,177.2223229,
4,178.5450073,157.5265415,176.3053775,178.5409502,
5,177.4720889,160.5474421,177.0842129,178.9987418,
6,176.475361,169.8633396,179.037737,179.1566306,
7,175.4754581,179.8846847,179.4842113,178.8011272,
8,175.566891,179.8754517,179.9415156,179.2443946,
9,176.2782896,178.5468957,176.6985782,177.5283882,
10,173.8804315,173.7374331,174.4423999,177.4559696,
11,172.70842,173.5092256,176.3350818,174.4814076,1
12,172.3706098,169.1224429,172.1356749,170.5176538,
13,170.5884793,163.8476768,170.285598,170.4973182,
14,171.2875968,163.8289123,169.7346723,170.9177821,
15,170.3368615,165.2993855,169.8755321,172.3415562,
16,169.4924998,163.6261359,169.565385,171.9929166,
17,170.0782128,163.1213966,169.4726681,169.0550494,
18,168.742932,164.5042377,168.271383,166.8762406,
19,165.412019,165.9869506,168.361402,166.4885994,
20,165.3637181,165.3934445,166.7656741,164.6313849,
21,161.993864,166.7530125,163.8970316,162.4171342,
22,164.2318982,173.2642009,167.906222,162.8628817,2
23,163.2673847,173.297454,166.0958851,164.2953416,
24,162.0860577,167.728314,164.8692599,163.80319,
25,162.9237248,168.1717809,165.2743532,163.8284031,
26,163.7770456,167.8993705,167.4974706,167.3119353,
27,168.8920634,168.4501201,167.0919814,171.0930125,
28,165.8649515,168.4054482,172.1137851,170.4075982,
29,165.969898,170.430433,169.5264687,170.5842742,
30,164.9447971,163.1646976,162.7655654,167.7766552,
31,166.6408969,158.3933079,162.7412843,163.3675057,3
32,167.2579957,158.4461531,162.7174085,162.5184134,
33,165.5895399,155.6268675,160.6452065,159.9728088,
34,160.8469996,156.7937356,159.4455623,160.048483,
35,161.1855073,156.5076,160.2875293,158.5162737,
36,156.4608244,157.1199011,158.4913417,155.6116618,
37,155.0651346,156.3046376,156.3316673,153.8326042,
38,145.3348355,156.3988996,158.5211249,152.1683185,
39,144.3889254,153.9140758,156.6884352,153.6486239,4
40,145.5470616,154.1297835,155.6851034,162.0432082,
41,142.0064833,159.752737,155.7275196,163.1867599,
42,140.9910977,146.8927103,155.887982,166.8423708,
43,141.7010495,156.444398,134.0110528,166.6719373,
44,154.6951684,162.4825506,163.6408487,167.7213676,
45,159.7392825,168.339304,165.5306457,171.8193902,
46,159.3109104,169.3905229,166.6367763,169.7392296,
47,161.8851702,170.4175658,168.668943,167.6921593,
48,159.6624338,169.8412023,169.1148438,169.7294152,
49,158.9852653,166.7326961,172.0366344,167.3139706,
50,152.1791384,166.9673342,167.2122582,159.9628107,
51,148.2359059,157.7661046,167.7542251,152.4331191,
52,148.4853777,149.6378578,160.3825675,151.4074557,5
53,152.6484163,149.6564196,153.6553064,151.5467643,
54,153.9161987,148.277206,152.3042984,151.3199368,
55,158.2376177,148.5119193,152.9016446,152.5072423,
56,160.4006787,147.8672692,152.9500232,155.6694689,
57,160.4541519,149.5007103,153.2635907,166.2681256,
58,167.9375801,160.6309352,154.8063725,165.257104,6
59,174.1672257,163.6346587,156.0983634,169.605698,
60,172.3287042,176.0504287,163.8095296,174.4004289,
61,178.8100037,178.0187496,164.5463931,171.5030905,
62,178.4925897,177.2752642,164.5463931,163.1431043,
63,171.2264563,178.1427677,179.2096863,155.1983812,r
64,158.4241546,149.8213027,177.4136715,154.6538936,
65,152.750644,148.3950422,176.796961,145.6940163,
66,145.2170648,176.4827145,176.893365,169.7913088,
67,146.7078548,170.5338609,160.9662168,141.7176253,
68,138.5636075,175.0510477,166.6101263,152.0826455,
69,137.1797221,178.0080015,159.6761976,143.5356125,
70,130.9951888,133.278676,140.6822259,132.2697975,
71,128.9705334,142.8721945,147.2389795,136.4440546,
72,115.625442,128.9126021,143.8709137,162.576647,
73,113.9820979,133.9608426,155.5285844,134.4320356,
74,115.9437115,127.2679131,124.261798,146.05027,
75,113.5763953,138.4178258,130.1383994,146.05027,
76,117.7181252,133.7102563,126.7639437,162.1324361,
77,122.8481356,133.3920137,148.9918499,162.1324361,
78,133.423742,132.0571653,140.765147,159.6884808,
79,128.9644756,132.7748492,113.3689328,160.4275759,
80,133.843927,132.7748492,125.8158227,147.2114322,
81,148.7007555,160.6651956,125.9808679,152.6848802,
82,151.033998,154.7398196,176.4103821,162.733615,
83,157.4235684,147.3818972,168.1443637,171.8750924,
84,151.9864729,153.8339124,168.1443637,148.8651587,
85,146.0833439,146.3635674,159.8958863,159.1369661,
86,150.6271905,156.1126645,176.6801833,144.0825191,
87,144.1793578,149.6139925,165.547594,148.010301,
88,144.6361867,126.802694,170.4801938,129.2054461,
89,137.3702173,125.3125615,165.2629014,150.0391269,
