,89.13.mp4,89.75.mp4,90.34.mp4,90.61.mp4,steps
0,175.8794811,125.716469,135.624441,23.39320577,
1,178.7845693,178.9090012,178.0679141,179.3676469,
2,179.0678046,174.6669904,177.5420904,176.2110385,
3,178.9623358,174.8743733,179.5742206,174.2600266,
4,177.6211507,172.2684431,171.751341,172.7545837,
5,175.1265135,171.8897815,178.5750582,172.8264996,
6,174.5971996,170.9695051,178.504881,176.4317382,
7,174.5228092,175.1392937,179.5084786,177.6372681,
8,178.584153,176.5590148,179.5465319,179.2384498,
9,178.591089,178.9074445,178.1497956,173.2702066,
10,178.9217697,176.0813548,175.5872509,173.5171788,
11,176.7902013,176.7432345,176.9188437,172.1067551,1
12,176.620504,166.508037,166.5559495,163.1289767,
13,171.0063582,158.0488075,152.0083026,143.1247232,
14,159.3176047,157.3495235,150.1172606,144.7423334,
15,160.964587,132.5215909,149.073056,139.5412652,
16,169.7939724,149.5628378,147.0867825,151.9735577,
17,168.5600369,147.8656551,164.1896966,169.8201692,
18,176.9984801,161.9708644,171.9539172,174.3825575,
19,178.5711037,175.2939709,172.8426188,174.8597074,
20,178.4501971,175.1882516,179.3575761,178.1828488,
21,171.1871202,176.7773088,173.3223287,171.9536732,
22,172.7281026,175.2487669,174.2774158,171.9815063,2
23,171.9679303,174.5199127,171.8249118,169.3449321,
24,169.6604867,169.0784802,171.2880956,169.8981888,
25,169.890283,168.9000295,168.6349828,169.236467,
26,170.6086421,165.8276564,170.174847,169.7633752,
27,167.8280417,168.1278443,169.8788996,172.2234414,
28,170.2780042,171.522386,174.623532,177.8197215,
29,171.2100175,172.159,174.8715387,178.4853859,
30,170.6757937,177.6986515,177.1801514,175.4230569,
31,178.3536029,169.0708162,177.3525401,165.9692284,3
32,178.4996273,170.017205,177.2000052,152.7803848,
33,177.0959035,156.3670068,167.8871054,159.6710855,
34,176.9495613,162.2668764,163.2363341,159.9751877,
35,177.1397271,163.3611975,164.3105066,172.0837155,
36,173.6568653,174.1984611,175.341038,177.6957513,
37,172.4903587,177.1032865,179.2407593,174.9933394,
38,162.4000063,176.9936342,169.4605224,164.9800889,
39,159.4356965,167.7530369,170.036704,165.6414865,4
40,159.8166886,159.2703396,167.5957977,145.7851484,
41,159.4554693,157.6965467,157.1927572,161.4092384,
42,153.4155687,157.7792323,151.261215,136.8388598,
43,156.7992351,154.397457,150.8314645,167.0292019,
44,160.1503139,157.2530272,164.0773364,167.8198073,
45,161.3872955,165.0936716,170.0677874,170.1310356,
46,161.8793983,171.8414516,171.2971123,179.2270171,
47,168.0253403,172.3129252,172.5092025,168.9122129,
48,177.5497028,179.6492989,170.7271706,167.4275836,
49,177.2104409,170.3544369,179.1579108,161.4458073,
50,176.8679659,169.8415601,171.2480904,159.1246423,
51,171.8365762,165.3344849,171.1917696,155.9023045,
52,169.9571952,162.2506787,167.0941237,151.1809404,5
53,165.0219874,160.3214663,161.6796944,151.607354,
54,165.0959846,155.878971,156.3311175,142.4791385,
55,157.6240623,148.4764247,155.8327349,152.6088319,
56,158.9448052,147.4051729,154.5493583,152.3616847,
57,158.1179935,151.3992154,149.0397384,151.8546928,
58,150.1954736,145.2783377,154.0842851,147.0886411,6
59,149.6866496,141.9124169,153.040255,157.8258519,
60,146.0923251,140.6816278,146.033966,158.6875466,
61,150.9061478,150.7676424,148.8755273,169.1949098,
62,166.9764305,153.7574363,148.8755273,149.9012154,
63,164.9113187,157.8579741,152.3616465,139.8888307,r
64,153.7881432,169.5065652,149.4233398,144.8155332,
65,166.0749872,174.6609314,151.5712165,135.1202163,
66,174.4702033,152.226024,159.8103529,140.9727625,
67,149.5198486,152.5666243,158.6144502,149.2542053,
68,144.3683132,142.9513278,153.9193185,141.8291521,
69,131.9550303,146.6894344,147.5744608,140.3656362,
70,66.23901863,138.5942219,149.3367153,140.4619075,
71,94.41941259,147.4397493,150.0013847,115.3971201,
72,127.9299555,160.3449638,147.1064517,129.4647393,
73,138.9859579,160.4305122,177.1642265,132.0156847,
74,138.5777652,165.6393039,147.9503686,151.0177557,
75,148.8849181,173.5757563,140.1275519,151.0177557,
76,160.1467627,177.8316566,145.9243505,148.6775322,
77,154.1254315,160.8087439,124.3618108,148.6775322,
78,171.920196,155.6529472,124.088364,134.577558,
79,163.7709679,156.7087086,162.4504854,150.9679502,
80,162.8508591,156.7087086,173.4498559,177.9819911,
81,159.3356984,150.59802,164.700917,158.6072446,
82,147.7941583,168.294781,173.0030063,176.7167701,
83,148.0010929,156.0386436,174.2198441,173.3462982,
84,153.1454839,139.6335108,174.2198441,160.6816259,
85,145.2596988,146.9095246,168.0112814,153.8652447,
86,152.0009872,150.7161515,168.0808956,152.848414,
87,131.6767448,151.3369349,169.3004619,155.7306356,
88,136.4941691,142.2746695,158.417271,141.4201395,
89,125.716469,135.624441,23.39320577,155.5691719,
