,82.94.mp4,85.52.mp4,85.97.mp4,86.14.mp4,86.40.mp4,87.08.mp4,88.12.mp4,88.26.mp4,93.90.mp4,steps
0,156.8244284,140.4373889,166.6911077,133.5363175,143.9765789,108.3839362,38.44064211,113.980326,177.2890159,
1,150.733496,106.3995977,97.24443791,119.0543747,138.8692045,146.541562,38.44064211,113.980326,177.2890159,
2,106.8397949,99.79963436,69.91484256,75.88018481,163.0621473,99.87516325,88.61794311,76.91310607,116.5542219,
3,101.8662715,97.32177981,60.39997012,166.6970487,83.8129609,77.84971765,165.4854779,86.47359351,109.3814794,
4,146.1108659,107.8293354,85.10149071,91.93053163,96.95615257,78.58643089,171.8101388,99.80705242,117.8915164,
5,111.7275933,157.0134315,102.6057183,121.9361518,121.4710301,161.5470799,171.1515485,128.0388299,132.8409566,
6,131.3920394,122.9956832,127.2917894,147.5189692,118.7995658,175.2682206,172.8188296,149.1034628,133.0587064,
7,109.5407487,110.6236665,127.4167632,146.2410359,128.3508232,155.6520835,142.6422717,149.3804793,147.4001376,
8,109.3340793,159.9991925,147.645701,145.4188246,162.57682,151.0511506,120.2777463,150.7190507,155.6652859,
9,136.6258573,171.7955451,158.6285943,148.4039336,163.814699,143.9439239,153.6476585,158.8886068,155.9051413,
10,139.5394724,168.799946,157.1981955,161.2190213,171.9599578,150.4712051,150.3967856,153.5189392,159.7108552,
11,151.7593796,167.8201903,151.6526508,155.0746956,155.2215649,158.0417203,156.7555454,154.2058577,157.1371685,
12,126.9877028,156.9827777,159.5950062,161.7888222,165.3747241,161.0560364,102.7714827,161.9234798,159.6110509,
13,113.5272894,126.2413491,160.4499498,163.384127,164.94826,160.7497257,166.4159836,162.4192281,164.4746165,1
14,132.7633194,161.8432344,162.6072783,165.8227089,166.4946042,163.6753861,162.9154989,169.7404177,161.4528034,
15,157.3708995,159.7832031,155.6884907,162.9838724,168.2433205,170.2741046,161.2618899,167.1086563,150.1793728,
16,150.3067779,153.8518269,144.486403,160.4869394,163.9844834,164.6042388,154.1020535,162.8520734,146.5591088,
17,156.5858815,151.7083046,135.3929096,149.2931635,155.2895034,154.8577073,153.7646204,149.3640307,156.9975221,
18,159.4158879,153.5510139,143.0687037,155.1873809,156.3015998,138.0396531,141.5684073,147.281329,147.1285518,
19,145.2313974,155.7440792,127.1039836,146.8689956,158.5281226,135.1369416,130.9033241,146.0813077,143.4737658,
20,143.9758177,137.1310755,123.1289466,163.9375022,160.4898321,149.9508237,154.5889031,146.5057109,162.8959276,2
