,82.25.mp4,82.52.mp4,87.22.mp4,87.71.mp4,89.78.mp4,93.59.mp4,94.24.mp4,96.29.mp4,steps
0,91.21048574,159.2251886,144.0743928,96.60613168,133.2278144,95.0209987,88.05631652,99.69439064,
1,103.4638645,94.49401488,101.3583156,102.7523116,100.5229815,97.14630729,88.05631652,88.97442234,
2,114.7300019,98.31226017,103.9754181,98.37092219,115.9441069,98.62379185,81.11443934,88.92746886,
3,112.3090596,100.0753589,107.6712334,115.9203069,115.7875646,92.18901583,90.79652801,101.1498566,
4,107.9708094,86.13317495,108.5370248,119.2903608,113.3510394,92.15924037,95.98576836,100.9515879,
5,100.3309241,86.73995929,103.0608208,155.0198974,116.3079057,89.42603386,98.22414536,94.71872657,
6,101.3337159,81.42940495,99.90426152,123.6494596,103.8153281,89.48848434,98.674466,88.71121014,
7,137.6676783,70.76848374,128.0501702,92.145175,159.4890877,89.37245452,33.04605023,77.63310726,
8,90.84145769,58.05883822,70.96283325,96.3389982,91.41583612,78.21283613,92.89374862,72.98732521,
9,75.96564751,63.05774923,81.47276371,109.0652984,102.3200383,62.96118131,72.92531105,82.98783476,
10,112.0140188,50.66909426,110.5240682,125.1642655,103.9540851,63.90762888,65.73603291,86.15696116,1
11,118.1384897,53.00903382,110.6835379,124.6737534,128.6868799,59.29850372,89.88181505,110.6017614,
12,121.9947905,60.98837478,142.3109959,123.9760202,115.0607808,59.34144298,65.88674465,66.37781812,
13,106.1491532,64.54774627,120.4052215,118.2063073,118.783987,59.13789834,78.69905056,65.07306033,
14,107.7823331,69.37686678,119.515933,118.2571671,126.3371424,65.64871307,72.48247478,55.90929886,
15,112.3676902,75.69805743,125.9616807,114.4885097,127.4606654,70.13767853,93.74650221,62.62867491,
16,106.6108696,77.93195339,126.1648716,107.3745957,125.0597489,72.82540151,71.18299094,60.38666541,
17,100.1879803,87.33511855,28.41841412,111.0963717,105.8795663,80.9721569,95.84286955,89.85910867,
18,141.6625208,88.61427557,170.8297925,111.9221277,120.8932791,89.53508316,76.3492386,64.36088804,
19,127.1056679,61.66497629,108.3169759,121.2084472,135.6312365,86.4939615,67.62192539,95.2004036,2
20,164.4356061,92.78638433,145.0995944,124.3418846,175.6775464,93.24202248,73.83280395,98.31659895,
21,137.6649297,95.96602098,146.2680469,77.73414341,75.05330676,92.98803954,125.078995,88.97242258,
22,145.6753635,92.47334074,160.8440618,151.2308454,131.2083441,71.95182254,137.4130642,83.86057035,
23,135.293238,84.8526429,116.5368953,97.38360651,79.05998852,67.77867427,75.02282645,38.51752902,
24,111.2836872,79.57109994,130.1944283,121.5611397,88.09696384,75.70333408,84.63255931,74.47351706,
