,82.25.mp4,82.52.mp4,87.22.mp4,87.71.mp4,89.78.mp4,93.59.mp4,94.24.mp4,96.29.mp4,steps
0,179.0890321,159.6496007,135.4114422,176.9744982,149.9762342,102.8134443,173.7948017,145.5336115,
1,177.6494391,175.3473358,179.4194841,177.7438192,178.9678329,178.6985584,173.7948017,176.8793609,
2,173.3993335,170.6176919,174.5404075,178.7661479,178.0559347,173.1928524,177.3952015,178.6769646,
3,173.0499625,169.4694255,176.8065291,176.9310758,174.8217671,171.7364222,178.5200366,179.5231787,
4,179.5921737,168.9844175,177.1150632,177.4476718,175.4983306,168.5613271,177.0253429,174.8556109,
5,178.9299742,168.446004,178.7552108,179.9372693,176.8682343,168.8928229,172.6623135,173.2127838,
6,173.7620352,169.0639471,175.7511104,177.2381998,171.8563741,171.8169531,170.770289,169.8400754,
7,165.6757584,170.3369117,167.5984556,166.9638139,172.175491,172.1424247,173.7760696,161.9987995,
8,158.1764663,170.7397462,160.4733097,167.3759145,159.5014266,172.5330191,165.8446427,163.111546,
9,160.356708,171.3971818,153.974407,156.3129233,145.7494663,171.5758813,157.4216233,160.6113544,
10,144.6256462,168.4445205,155.5316547,140.7785609,147.6190282,172.1856214,157.8646303,156.1060968,1
11,138.6702957,171.3607349,147.1268914,135.628272,131.2206852,174.0036144,150.2026783,149.5539234,
12,139.953415,176.5136898,142.1727912,137.0799906,135.0584087,178.7456153,145.5825339,155.5861936,
13,145.4280297,174.9508649,143.0639456,145.2139054,139.2885275,178.3682002,145.5664363,163.2307298,
14,154.0440661,176.3578538,155.6640048,145.6552342,147.4864127,179.8845153,148.6325896,162.9139324,
15,153.1693321,175.9576631,159.4112008,152.1469359,151.9519006,178.3102792,161.415916,168.1730451,
16,158.4203826,174.9102909,160.6764408,154.9630258,152.2667859,176.769075,170.8403813,166.3258634,
17,160.4586339,172.1064099,162.5955542,157.4312646,158.0529537,178.7578311,166.4460075,163.6993884,
18,159.1614679,165.7229429,160.2768458,161.4136012,159.590974,176.009369,164.6063843,165.4230678,
19,165.9137945,158.6738012,160.6155783,173.127446,167.2026001,176.2751387,165.2756939,168.9041486,2
20,179.9117352,162.6068594,175.5075123,174.566849,178.724712,173.6651945,169.5779551,170.3523697,
21,177.9380602,162.2404319,179.9235704,169.1755332,170.2008505,173.8009022,173.9099557,172.0761144,
22,121.5899079,161.4990579,179.8057764,173.6621923,125.8604621,152.2809435,177.6226988,169.3067968,
23,134.0661846,161.1007943,178.807442,174.0891919,178.0227884,166.9982578,171.2399733,165.1688155,
24,153.4568059,163.1067825,173.511673,163.0788571,174.4208006,167.1772192,167.7356529,158.7057295,
25,159.7491332,163.1362299,152.9051017,155.5118784,156.0509829,164.8988505,167.1643236,153.360187,
26,149.8046123,161.4507395,148.5147454,156.7055862,145.279375,167.4259,158.284494,153.4738421,
27,147.7302383,164.0328504,133.691535,139.4536343,121.5718234,170.7872634,151.1970235,129.1974434,
28,126.2730708,163.1485913,131.9112971,121.0952101,123.062396,169.6970491,134.0460188,125.2977399,
29,118.8718655,175.7414412,122.1196258,121.4522833,111.2478359,168.6702356,132.5520302,127.3575795,3
30,119.8353626,176.4467191,127.4385294,132.0065781,117.8244982,178.7810221,133.2166648,142.0812612,
31,130.6362984,175.9976281,132.0828437,139.390872,129.3004256,178.7159917,135.5513902,154.4683007,
32,140.3819481,178.3790395,141.607762,134.4656837,136.8355516,178.7448897,141.359407,155.1652911,
33,138.5603314,177.145561,155.8033299,149.9702663,152.7850475,178.4908998,151.6485501,158.0829151,
34,152.9666769,176.6935607,156.68047,158.1799372,154.263416,179.1290392,161.2366413,164.0013951,
35,151.3532806,167.0866943,153.8930461,173.0938127,163.1177833,176.2943461,165.2933546,163.8441744,
36,169.1641471,162.6148174,175.6427325,175.1040924,179.9599039,168.9687124,158.6847378,170.6269411,
37,167.2058947,162.8972089,174.6304784,164.4536099,167.9944892,167.9392002,157.1839281,173.3849901,4
38,102.0624247,157.9075459,105.3388231,163.7447458,143.6443685,165.1737182,165.9425494,173.7369076,
39,101.0969868,153.5079211,111.9671513,162.7496682,175.8028091,161.9120643,174.1323304,168.2460004,
40,119.0308228,153.6396247,158.8923628,174.5398067,178.4195381,171.0871589,169.3756348,160.8009022,
41,176.7729863,156.7861035,160.7131584,175.7091726,153.576935,163.7092162,161.9913154,152.4698901,
42,161.705092,154.9447872,157.1198717,167.8558892,170.4845822,170.8645321,151.8312158,145.3960277,
43,149.5432868,153.7587991,138.1148883,161.7406877,151.2046097,158.063577,150.8264268,140.131167,
44,132.6640923,166.242117,132.8720342,160.9321878,135.0982565,164.9447291,145.7734147,141.5959664,
45,132.196122,167.7482493,120.404427,141.6928314,123.8048772,171.6047464,136.1346576,138.2474066,
46,125.4129435,178.6850071,114.1553968,121.0477592,124.5028195,172.7000337,125.6361535,139.7275052,
47,118.7333569,159.8065465,124.4981878,129.3076166,121.6785645,175.2410752,134.7036377,145.4958202,5
48,129.855906,159.6423694,129.7995434,134.0747317,119.9125849,167.5086393,145.2800525,151.1400956,
49,130.372977,170.1014635,131.1824149,131.6949714,113.252806,155.5895474,147.058558,155.1711975,
50,134.2942961,154.4267947,137.8068345,132.2909939,175.9565281,153.7511006,151.7740089,157.0202224,
51,144.6856097,155.0846502,147.5872482,138.9620736,137.7555124,146.2789163,162.249073,166.1678156,
52,153.61345,148.1529254,146.2150685,135.4690399,137.3818226,149.8019487,169.6931982,174.107069,
53,139.4740871,152.5458673,164.8380453,147.6611855,146.4924319,147.2550802,178.4286088,176.1419487,
54,130.5820329,153.1959419,163.6013968,146.5736425,148.5854536,154.9421155,169.1129911,167.8370921,6
55,138.8039847,149.3453278,157.3144647,147.9917384,155.8110768,155.4907375,166.6330642,161.6472428,
56,145.6959041,149.7463997,161.5103509,150.0928767,157.4515351,154.7929115,169.786836,161.7275987,
57,146.159393,148.6061235,167.3993576,146.5470584,163.426631,154.7929115,169.3095353,172.3287521,r
58,146.5979825,151.3599164,164.3724957,148.897746,154.8176207,173.8001867,157.3601962,158.793503,
59,170.5587809,152.886748,164.2476636,158.1111786,174.3980659,173.8001867,148.0977649,39.88699781,
60,179.1593099,150.9082082,165.3641841,153.2901371,170.2300509,142.7344398,174.5249135,44.05147961,
61,164.8978976,146.5673999,159.4004779,145.3028565,168.278333,158.6102868,175.0079905,34.92185776,
62,172.5462809,142.4410392,154.8173771,143.1294662,169.3916756,158.6102868,158.2138743,35.17438869,
