,82.25.mp4,82.52.mp4,87.22.mp4,87.71.mp4,89.78.mp4,93.59.mp4,94.24.mp4,96.29.mp4,steps
0,142.9019695,168.8742346,21.07303583,147.6556917,166.3439603,46.09271125,178.5597887,38.0242009,
1,153.0346589,159.8021862,153.3877309,144.2562487,151.6426604,174.7877982,178.5597887,150.7007255,
2,151.4186296,149.3013378,153.4062015,145.5636346,151.3107101,169.0229706,149.9539199,150.7525691,
3,152.2123812,143.0133073,154.6820059,144.0165969,149.2898426,171.1171075,153.1121209,148.6881202,
4,153.1382122,148.0894834,155.5387084,151.2410674,147.2580161,169.1186003,151.5699663,150.6961388,
5,162.6379663,148.3513317,162.5733907,158.3033384,155.391532,166.6408504,154.9868794,158.7350811,
6,167.4408525,154.4342473,166.4454941,158.5826653,161.4917039,166.7829101,159.8375243,158.1708982,
7,161.7109074,157.9183618,169.3554429,154.566852,157.621269,165.953952,156.6171601,155.8644669,
8,154.3865574,157.216834,163.6339378,160.390169,139.9099488,166.5837751,161.2710022,156.6817792,
9,153.1983267,158.8454508,148.7219455,146.8112096,147.5095829,164.9483013,155.4082431,148.8816031,
10,148.8818736,158.338737,146.1691047,149.4421335,148.0249608,164.3513746,152.6325968,155.6654243,1
11,149.7343284,169.432462,160.7166362,156.1133767,152.3774717,166.9881058,161.2950624,157.8472693,
12,159.735403,175.649786,162.3536375,162.7859565,160.8807274,174.7869136,158.7250748,161.7245752,
13,157.5667491,169.3732857,154.8078706,160.453582,155.8668849,175.0473076,161.9916479,156.2060996,
14,151.9004658,166.1086575,150.642336,161.9615719,149.009419,174.9198929,165.9644444,156.8346327,
15,153.5523278,164.0588615,146.3114146,161.8097108,152.6955725,168.0530466,157.2706552,156.7610799,
16,147.3837204,157.1975248,147.5393802,157.1793933,152.7839262,157.6095569,158.0742538,152.6119239,
17,137.7454736,147.9233809,145.0827776,146.5286496,146.9705192,150.3944844,156.160648,143.5764527,
18,143.1840619,143.3672934,139.60593,150.7835073,147.7012861,146.1951745,140.653478,131.9269774,
19,134.7918813,152.9618879,134.1981567,141.0121508,135.2942629,145.8845953,138.4581039,139.1679327,2
20,131.2227749,134.4539659,138.09906,140.4158802,138.5557403,143.01914,131.9349519,138.8204044,
21,131.8030459,136.8246694,144.1697428,139.3464609,131.0298885,143.3655088,133.2102671,142.851583,
22,148.843635,144.0138943,142.0615121,154.91527,154.157253,168.3749352,140.7102337,151.8034,
23,121.9073953,148.1642934,161.7947245,152.1757252,139.7052969,147.4402018,147.2459906,151.3785441,
24,110.835706,151.3478117,149.4505021,162.1859546,167.524169,150.9415459,149.0852454,147.9070451,
25,153.602939,154.221453,109.5537101,147.8089835,153.6156016,149.802802,148.6034064,151.2700313,
26,149.7750842,152.8668569,142.4919592,145.4867713,159.9008495,154.7775422,145.0407849,149.2873908,
27,144.9704036,155.8284412,156.4967758,162.1109885,158.4844919,157.5274474,154.0846982,149.3760503,
28,158.6124981,156.8576623,156.1962823,165.8442586,159.5302468,159.1583839,147.5522892,149.609077,
29,159.9901779,168.8282221,161.2642129,164.9579548,161.3887763,163.1812337,153.107619,160.6060165,3
30,167.805403,177.8906034,167.1717515,169.2899025,164.7798819,178.8630246,159.1103506,159.6086462,
31,161.5682449,170.4949742,161.3774529,172.1275243,164.6013934,177.4875393,160.0020154,160.4607025,
